\balways,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\bchief,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
\bcritical,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)","https://patents.stackexchange.com/q/19186 https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html"
\bcrucial,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\bessential,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)","https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html https://patents.stackexchange.com/q/19186"
\bfundamental,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
"\bhave to","prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://krajec.com/prohibited-words-in-a-patent-must/
\bimportant,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)","https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html https://patents.stackexchange.com/q/19186"
\binvention,"prefer ""embodiment"" (avoid narrowing scope)","https://krajec.com/prohibited-words-in-a-patent-invention/ https://web.archive.org/web/20070703033932/http://patentablydefined.com/?p=15 https://patents.stackexchange.com/q/19186 https://patents.stackexchange.com/q/3293"
\bkey,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\blimitation,"(avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\bmain,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
\bmajority,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
\bmust,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)","https://krajec.com/prohibited-words-in-a-patent-must/ https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html"
\bnecessary,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)","https://krajec.com/prohibited-words-in-a-patent-must/ https://patents.stackexchange.com/q/19186 https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html"
\bnever,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\bobviously,"(avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\bonly,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
"\bought to","prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://krajec.com/prohibited-words-in-a-patent-must/
\bprincipal,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
"\bprior art","(avoid applicant's admitted prior art)","https://krajec.com/prohibited-words-in-a-patent-prior-art/ https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html"
\breference,"prefer ""citation"" or ""cited art"" (avoid applicant's admitted prior art)",https://web.archive.org/web/20070703033932/http://patentablydefined.com/?p=15
\brequire,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html
\brequires,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)","https://krajec.com/prohibited-words-in-a-patent-must/ https://web.archive.org/web/20090210131413/http://www.patentlyo.com/patent/2009/02/no-no-words-what-words-do-you-avoid-in-patent-applications.html"
\bshould,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://krajec.com/prohibited-words-in-a-patent-must/
\bsignificant,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
\bsolely,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
\bvital,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://patents.stackexchange.com/q/19186
\ball,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\babsolutely,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bevery,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bneeded,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bneeds,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\brequired,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bnone,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bspecial,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bsuperior,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bmost,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\brarely,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://attorneyatlawmagazine.com/patent-profanity
\bpeculiar,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://www.wipo.int/edocs/mdocs/aspac/en/wipo_ip_bkk_19/wipo_ip_bkk_19_p_3.pdf
\bpreferable,"prefer ""may"", ""could"", ""potentially"", or a similar phrase (avoid narrowing scope)",https://www.wipo.int/edocs/mdocs/aspac/en/wipo_ip_bkk_19/wipo_ip_bkk_19_p_3.pdf
